IDs         length   Exptl.  resolution  R-factor FreeRvalue
1SEIA       130      XRAY        1.900    0.22    0.29
3MEAA       180      XRAY        1.260    0.18    0.20
3U4VA       117      XRAY        1.800    0.18    0.20
5CHHA       341      XRAY        1.850    0.19    0.23
3HUUA       305      XRAY        1.950    0.25    0.27
1DFUP        94      XRAY        1.800    0.21    0.23
3N90A       152      XRAY        1.700    0.23    0.26
2OHCA       289      XRAY        2.500    0.22    0.28
4YGTA       160      XRAY        2.130    0.19    0.23
3C5EA       570      XRAY        1.600    0.16    0.19
3HYNA       189      XRAY        1.200    0.12    0.14
3LCRA       319      XRAY        2.000    0.19    0.23
1BM9A       122      XRAY        2.000    0.21    0.28
5G5RA       138      XRAY        2.400    0.21    0.25
4N91A       347      XRAY        1.700    0.15    0.17
1UNNC       115      XRAY        1.900    0.18    0.24
4MZDA       488      XRAY        1.100    0.15    0.17
3FEUA       185      XRAY        1.760    0.19    0.24
1K12A       158      XRAY        1.900    0.19    0.24
4LSWA       318      XRAY        1.640    0.25    0.25
2QQ4A       138      XRAY        1.850    0.23    0.26
3D4EA       179      XRAY        1.400    0.18    0.20
2NXVA       249      XRAY        1.100    0.14    0.15
3TG7A       951      XRAY        1.570    0.19    0.22
1CRUA       454      XRAY        1.500    0.18    0.20
2IYVA       184      XRAY        1.350    0.14    0.18
4RDZA       316      XRAY        1.800    0.13    0.16
4H3WA       330      XRAY        1.870    0.20    0.24
5JXCA        92      XRAY        2.500    0.23    0.31
3W0FA       287      XRAY        2.000    0.20    0.23
5G2VA       534      XRAY        1.390    0.11    0.13
3OQ3B       329      XRAY        2.100    0.20    0.23
4OVDA       564      XRAY        2.000    0.18    0.23
4QEKA       301      XRAY        1.300    0.13    0.14
2WN9A       228      XRAY        1.750    0.17    0.20
4Q1QA       305      XRAY        2.110    0.21    0.25
2QHFA       407      XRAY        1.650    0.17    0.19
2V3GA       283      XRAY        1.200    0.12    0.14
1EV7A       317      XRAY        2.380    0.24    0.29
3LOVA       475      XRAY        2.060    0.20    0.24
2J4OA       401      XRAY        2.250    0.23    0.24
5TUXA       323      XRAY        1.500    0.15    0.18
5B1OA        69      XRAY        2.300    0.24    0.27
1G60A       260      XRAY        1.740    0.20    0.22
4ITJA       294      XRAY        1.800    0.19    0.22
4NQWA       204      XRAY        2.400    0.21    0.26
4JVUA       117      XRAY        1.300    0.14    0.17
4W8HA       129      XRAY        1.140    0.14    0.17
2YD6A       212      XRAY        1.350    0.14    0.17
2YZYA       200      XRAY        1.600    0.23    0.25
1IQ4A       179      XRAY        1.800    0.21    0.26
3EP0A       170      XRAY        2.100    0.26    0.29
3DSSB       331      XRAY        1.800    0.15    0.19
1Q8YA       373      XRAY        2.050    0.21    0.24
3UTMC        83      XRAY        2.000    0.21    0.24
2CJ4A       150      XRAY        1.630    0.15    0.19
3K1UA       330      XRAY        1.550    0.14    0.16
3SJLA       373      XRAY        1.630    0.14    0.18
4HBEA       151      XRAY        2.300    0.20    0.26
3IBWA        88      XRAY        1.930    0.20    0.19
1XIWB        79      XRAY        1.900    0.21    0.24
3H43A        85      XRAY        2.100    0.22    0.26
2UYTA       489      XRAY        1.550    0.18    0.21
1T4AA        84      XRAY        2.000    0.22    0.28
3UNOA       189      XRAY        2.500    0.21    0.25
5GZTA       108      XRAY        2.100    0.18    0.22
4B6IA       102      XRAY        1.950    0.18    0.23
2AE6A       166      XRAY        2.190    0.21    0.26
3LCZA        53      XRAY        2.060    0.22    0.29
2W7NA       101      XRAY        1.850    0.17    0.20
2NTEA       210      XRAY        1.900    0.20    0.25
3CIJA       295      XRAY        1.070    0.13    0.15
1PDKB       157      XRAY        2.400    0.23    0.27
4S1HA       287      XRAY        1.600    0.19    0.22
3KPTA       355      XRAY        2.100    0.23    0.28
4A3PA       217      XRAY        1.400    0.16    0.22
1EB6A       177      XRAY        1.000    0.10    0.13
4G2AA       322      XRAY        2.330    0.17    0.22
4X8EA       447      XRAY        1.600    0.14    0.16
5I5MA       638      XRAY        1.370    0.16    0.18
2JKHL        55      XRAY        1.250    0.20    0.22
3P9ZA       229      XRAY        2.100    0.21    0.24
3QWEA       279      XRAY        2.400    0.23    0.23
3PHHA       269      XRAY        1.420    0.20    0.23
2Y7PA       218      XRAY        1.850    0.18    0.22
3PSMA        47      XRAY        0.980    0.12    0.16
1UTGA        70      XRAY        1.340    0.23    1.00
5DWDA       240      XRAY        1.660    0.16    0.20
3MHXA        85      XRAY        1.700    0.19    0.23
4MYZA        79      XRAY        1.500    0.18    0.20
3HSHA        56      XRAY        1.800    0.18    0.22
3N7CA       130      XRAY        2.260    0.24    0.29
2W2UA        83      XRAY        2.200    0.23    0.27
5T9CE       268      XRAY        1.480    0.17    0.20
2J97A       109      XRAY        1.750    0.19    0.23
5EXEC       314      XRAY        1.880    0.18    0.21
5KU5A       150      XRAY        2.150    0.25    0.29
4D5BA       339      XRAY        1.700    0.17    0.19
5KPRA       380      XRAY        1.830    0.17    0.19
4P9FA       215      XRAY        2.100    0.17    0.21
2RIKA       284      XRAY        1.600    0.17    0.22
5HN1A       175      XRAY        2.250    0.18    0.22
3E4VA       186      XRAY        1.400    0.12    0.15
2JHPA       644      XRAY        2.500    0.23    0.29
4NOAA       112      XRAY        1.250    0.16    0.17
4XNHC       176      XRAY        2.100    0.17    0.23
3MU7A       273      XRAY        1.290    0.15    0.17
2GP4A       628      XRAY        2.490    0.23    0.29
3F8KA       160      XRAY        1.840    0.20    0.22
2Z0UA       155      XRAY        2.200    0.22    0.27
3H3IA       150      XRAY        2.200    0.19    0.23
3FDEA       212      XRAY        1.410    0.15    0.19
3RF3A       258      XRAY        1.610    0.18    0.20
5C40A       330      XRAY        1.500    0.13    0.18
3BFOA        91      XRAY        1.150    0.18    0.21
2PH0A       174      XRAY        1.850    0.22    0.24
3LJBA       271      XRAY        2.400    0.20    0.26
3ALRA       106      XRAY        2.100    0.17    0.21
1DABA       539      XRAY        2.500    0.25    0.28
4HN9A       335      XRAY        1.850    0.15    0.20
4OPCA       453      XRAY        1.400    0.15    0.18
2YYKA       481      XRAY        1.600    0.20    0.20
2OJHA       297      XRAY        1.850    0.17    0.22
5MQRA      1108      XRAY        2.200    0.17    0.20
1JW9B       249      XRAY        1.700    0.18    0.21
3IFUA       180      XRAY        2.420    0.24    0.26
1HUWA       191      XRAY        2.000    0.18    1.00
3OFGA        95      XRAY        1.370    0.15    0.17
5EP9A       305      XRAY        2.130    0.18    0.20
5DLEA       113      XRAY        1.550    0.16    0.19
4AJYV       163      XRAY        1.730    0.19    0.23
4R7EA        69      XRAY        2.250    0.22    0.25
3TJ8A       170      XRAY        1.590    0.19    0.21
3ABDX        52      XRAY        1.900    0.19    0.24
4FPPA       247      XRAY        2.200    0.23    0.26
1UFYA       122      XRAY        0.960    0.11    0.13
4OGQB       160      XRAY        2.500    0.20    0.23
3IUGA       229      XRAY        1.770    0.20    0.24
1JFBA       404      XRAY        1.000    0.10    0.14
4P82A       183      XRAY        1.300    0.18    0.21
1K6KA       143      XRAY        1.800    0.21    0.26
2W39A       298      XRAY        1.100    0.14    0.15
3R6OA       329      XRAY        1.950    0.15    0.18
4Z2NA       287      XRAY        1.920    0.18    0.22
3CIMA        99      XRAY        1.300    0.17    0.22
1COLA       204      XRAY        2.400    0.18    1.00
2AQ4A       434      XRAY        2.320    0.20    0.24
3SM3A       235      XRAY        2.200    0.20    0.25
5V5HB       105      XRAY        1.500    0.16    0.18
5E8SA       306      XRAY        1.450    0.17    0.19
5JGFA       473      XRAY        1.830    0.16    0.18
1JYKA       254      XRAY        1.500    0.22    0.24
4RK4A       283      XRAY        1.320    0.13    0.15
2VDUB       450      XRAY        2.400    0.23    0.28
5E6GA       136      XRAY        2.090    0.20    0.23
2ODVA       235      XRAY        2.050    0.21    0.26
2HHZA       150      XRAY        2.000    0.19    0.23
1KKOA       413      XRAY        1.330    0.16    0.19
3ZRGA        67      XRAY        1.750    0.19    0.24
5JBRA       149      XRAY        1.650    0.15    0.20
2E5YA       133      XRAY        1.920    0.20    0.25
3KEOA       212      XRAY        1.500    0.18    0.23
2P0LA       288      XRAY        2.040    0.23    0.27
5JBXA       261      XRAY        1.100    0.13    0.14
1DG6A       191      XRAY        1.300    0.14    0.20
1Z5HA       780      XRAY        2.300    0.23    0.27
2B9EA       309      XRAY        1.650    0.19    0.22
3HVWA       176      XRAY        1.700    0.20    0.22
4AU2A       392      XRAY        2.300    0.20    0.24
4IEFA       210      XRAY        2.300    0.19    0.23
3TDUC        77      XRAY        1.500    0.21    0.23
3AYSA       376      XRAY        2.200    0.16    0.22
4L8PA       187      XRAY        1.600    0.15    0.18
4UMGA       133      XRAY        1.680    0.22    0.24
4U4CB       116      XRAY        2.400    0.20    0.24
1YLOA       348      XRAY        2.150    0.19    0.23
2FIPA       115      XRAY        2.000    0.23    0.26
5EDLA       197      XRAY        1.950    0.20    0.22
1GS9A       165      XRAY        1.700    0.22    0.25
3MR0A       142      XRAY        1.490    0.17    0.19
4EBJA       272      XRAY        1.600    0.17    0.19
4X3IA        79      XRAY        1.800    0.20    0.20
2ZO4A       317      XRAY        2.100    0.20    0.26
3GOCA       237      XRAY        1.600    0.18    0.19
4RP9A       465      XRAY        1.650    0.14    0.17
4KV2A        92      XRAY        1.880    0.19    0.24
5H2WB       191      XRAY        2.500    0.21    0.25
3OHSX       334      XRAY        1.900    0.16    0.20
2QIYC        48      XRAY        1.690    0.21    0.23
3K6QA       139      XRAY        1.800    0.20    0.25
5A9CA       220      XRAY        1.710    0.19    0.22
5EWOA       228      XRAY        0.950    0.13    0.14
3G8KA       130      XRAY        2.000    0.23    0.29
4XEKA       139      XRAY        1.790    0.21    0.23
4AYAA        97      XRAY        2.100    0.23    0.25
4KBMB       162      XRAY        2.120    0.21    0.24
4BPYA       175      XRAY        1.400    0.13    0.18
2I49A       429      XRAY        1.350    0.18    0.19
3AEIA        99      XRAY        1.700    0.21    0.24
4ZKJA       291      XRAY        2.250    0.18    0.21
2CYCA       375      XRAY        2.200    0.17    0.22
5A2FA       583      XRAY        1.860    0.22    0.24
2DC4A       165      XRAY        1.650    0.21    0.24
1TWDA       256      XRAY        1.700    0.19    0.21
2BBHA       269      XRAY        1.850    0.20    0.23
5C9OA       381      XRAY        1.500    0.13    0.15
3MEMA       457      XRAY        2.250    0.19    0.23
4V3IA       257      XRAY        1.500    0.18    0.19
1ORSC       132      XRAY        1.900    0.23    0.25
4IK1A       450      XRAY        2.000    0.17    0.20
2PQRC        64      XRAY        1.880    0.21    0.24
2QVKA       192      XRAY        1.450    0.16    0.19
3DEOA       183      XRAY        1.500    0.17    0.21
4WKSC       548      XRAY        1.630    0.16    0.19
1Q8CA       151      XRAY        2.000    0.26    0.27
3FRQA       195      XRAY        1.760    0.18    0.22
3H0UA       289      XRAY        1.500    0.16    0.18
1I4NA       251      XRAY        2.500    0.17    0.23
4RUVA       114      XRAY        1.930    0.17    0.24
2Z98A       200      XRAY        1.400    0.19    0.22
4N49A       428      XRAY        1.900    0.16    0.20
2OHHA       404      XRAY        1.700    0.19    0.22
3OJ3I        49      XRAY        2.500    0.20    0.23
1OISA       223      XRAY        1.900    0.22    0.29
3FW2A       150      XRAY        1.740    0.17    0.20
2QG8A       163      XRAY        2.000    0.20    0.24
4IYJA       212      XRAY        1.370    0.14    0.17
4TVIA       312      XRAY        2.100    0.16    0.21
3RSNA       177      XRAY        2.100    0.22    0.25
3PU5A       333      XRAY        2.050    0.18    0.22
2OSXA       481      XRAY        1.100    0.12    0.14
5MNJC        86      XRAY        2.160    0.19    0.23
4X6XA       336      XRAY        1.800    0.20    0.22
1SMOA       119      XRAY        1.470    0.19    0.21
3T7HA       291      XRAY        1.600    0.19    0.21
3M62A       968      XRAY        2.400    0.20    0.26
1PPJI        78      XRAY        2.100    0.22    0.26
4N2XA       301      XRAY        1.700    0.14    0.17
2FHZA       109      XRAY        1.150    0.20    0.20
1XK5A       204      XRAY        2.400    0.23    0.28
2WM8A       187      XRAY        1.750    0.17    0.20
1Z0WA       207      XRAY        1.200    0.14    0.18
1V33A       366      XRAY        1.800    0.22    0.24
4I6NA       231      XRAY        1.700    0.18    0.21
5FAGA       410      XRAY        1.510    0.20    0.23
3LI9A       291      XRAY        1.700    0.18    0.21
3PC7A        88      XRAY        1.650    0.14    0.20
3O14A       223      XRAY        1.700    0.15    0.19
4WFWA        90      XRAY        2.050    0.21    0.25
2A2CA       478      XRAY        1.650    0.17    0.20
5KO9A       277      XRAY        1.500    0.18    0.21
4UASA       230      XRAY        1.200    0.14    0.17
2EGVA       229      XRAY        1.450    0.22    0.24
5B3TA       331      XRAY        2.100    0.20    0.24
3M7OA       162      XRAY        1.650    0.20    0.23
3G98A       111      XRAY        1.850    0.22    0.22
4LMOA       254      XRAY        2.370    0.22    0.26
2CARA       196      XRAY        1.090    0.10    0.15
1XWVA       129      XRAY        1.830    0.22    0.26
3OFKA       216      XRAY        1.850    0.19    0.24
4HA6A       508      XRAY        2.100    0.19    0.23
2Y2MA       494      XRAY        1.620    0.19    0.22
2FH5A       185      XRAY        2.450    0.20    0.23
3NR5A       164      XRAY        1.550    0.19    0.21
1KQFC       217      XRAY        1.600    0.18    0.20
3MILA       240      XRAY        1.600    0.19    0.22
2C1MB        46      XRAY        2.200    0.22    0.25
3WX4A       100      XRAY        1.900    0.21    0.23
1F32A       149      XRAY        1.750    0.21    0.26
2WFWA       153      XRAY        1.600    0.21    0.25
1ML4A       308      XRAY        1.800    0.18    0.21
5L6YH       238      XRAY        1.990    0.19    0.21
4JR6A       224      XRAY        1.900    0.17    0.21
2WK1A       282      XRAY        1.400    0.15    0.16
4ALYA       279      XRAY        2.400    0.22    0.26
4E9KA       241      XRAY        2.310    0.18    0.20
5IMUA       227      XRAY        1.900    0.16    0.19
3H6PA       111      XRAY        1.910    0.20    0.24
3UD1A       326      XRAY        2.000    0.17    0.21
5U2LA       164      XRAY        1.660    0.17    0.20
1K3IA       656      XRAY        1.400    0.18    0.19
3GUYA       230      XRAY        1.900    0.20    0.25
2QAPA       391      XRAY        1.590    0.17    0.20
2I1OA       398      XRAY        2.400    0.21    0.25
5JJEB       163      XRAY        1.900    0.20    0.22
2GK4A       232      XRAY        1.830    0.18    0.23
2GFNA       209      XRAY        1.900    0.17    0.21
3MD1A        83      XRAY        1.600    0.20    0.22
5GPYA       220      XRAY        2.100    0.20    0.24
2GVHA       288      XRAY        2.500    0.23    0.24
3FK8A       133      XRAY        1.300    0.15    0.18
1A9XB       379      XRAY        1.800    0.19    1.00
4L2IA       346      XRAY        1.450    0.15    0.21
5CFCA       252      XRAY        2.500    0.22    1.00
4L7MA       269      XRAY        2.000    0.20    0.24
5B7WA       169      XRAY        2.080    0.25    0.28
3CJNA       162      XRAY        1.950    0.18    0.22
2W1KA       252      XRAY        2.140    0.18    0.24
5ITMA        48      XRAY        1.400    0.17    0.20
3CDXA       354      XRAY        2.100    0.18    0.24
2J5YA        61      XRAY        1.400    0.15    0.20
4JJ0A       243      XRAY        1.800    0.18    0.24
3BAMA       213      XRAY        1.800    0.23    0.27
3P6BA       205      XRAY        2.000    0.21    0.27
2I9DA       217      XRAY        2.300    0.19    0.23
2PLCA       274      XRAY        2.000    0.20    0.25
2OYAA       102      XRAY        1.770    0.15    0.19
2QEAA       160      XRAY        2.460    0.23    0.28
3N6ZA       363      XRAY        1.300    0.14    0.16
5AIMA       100      XRAY        1.400    0.18    0.20
3CUZA       532      XRAY        1.040    0.15    0.17
2RKHA       180      XRAY        2.000    0.21    0.26
3K3FA       340      XRAY        2.300    0.18    0.20
5M4YA       210      XRAY        2.200    0.23    0.26
2ZEQA        78      XRAY        1.650    0.20    0.24
1VQOU        66      XRAY        2.200    0.21    0.25
5KMSA       405      XRAY        2.500    0.22    0.24
5BP9A       281      XRAY        1.500    0.13    0.18
4I71A       330      XRAY        1.280    0.13    0.15
4IKNA       261      XRAY        1.850    0.19    0.24
4Q8GA       461      XRAY        2.100    0.19    0.22
2GJ3A       120      XRAY        1.040    0.16    0.19
5D23A       102      XRAY        1.950    0.21    0.23
3CLQA       421      XRAY        2.500    0.19    0.24
2FOTC        42      XRAY        2.450    0.24    0.27
3CVJA       243      XRAY        2.000    0.18    0.22
5HOPA       248      XRAY        1.650    0.16    0.19
5K5DA       300      XRAY        2.450    0.22    0.26
3GX8A       121      XRAY        1.670    0.18    0.20
4Z9NA       328      XRAY        1.750    0.15    0.18
4RGQA       368      XRAY        2.230    0.18    0.23
3P1GA       165      XRAY        1.500    0.16    0.18
4CS9A       189      XRAY        2.010    0.19    0.21
4HWVA       503      XRAY        1.370    0.13    0.15
2XLGA       239      XRAY        1.800    0.20    0.23
5BUPA       213      XRAY        2.250    0.20    0.23
3FBKA       153      XRAY        2.000    0.20    0.25
5EO4A       164      XRAY        2.000    0.18    0.22
5NT7B       163      XRAY        1.400    0.17    0.20
3US3A       367      XRAY        1.740    0.20    0.23
5DQOA       197      XRAY        2.300    0.25    0.28
1D2OA       187      XRAY        2.000    0.21    0.26
4AX2A       142      XRAY        1.880    0.18    0.22
5M07A       276      XRAY        2.500    0.21    0.23
3R2CA       148      XRAY        1.900    0.17    0.20
5F6LB       184      XRAY        1.900    0.17    0.21
3C3RA       380      XRAY        2.020    0.25    0.29
4NI6A       150      XRAY        1.100    0.18    0.21
5B0UA       191      XRAY        1.710    0.20    0.23
1K3XA       262      XRAY        1.250    0.15    0.18
2QFJA       216      XRAY        2.100    0.26    0.29
4YAMA       281      XRAY        1.910    0.23    0.27
1K61A        60      XRAY        2.100    0.22    0.28
1D3BA        75      XRAY        2.000    0.21    0.27
3CZPA       500      XRAY        2.000    0.18    0.23
3B4UA       294      XRAY        1.200    0.13    0.16
4QM6A       171      XRAY        1.500    0.15    0.17
2BO4A       397      XRAY        1.950    0.18    0.19
4QBUA       444      XRAY        1.700    0.17    0.20
5J8EA       165      XRAY        1.700    0.18    0.21
3FSOA       123      XRAY        1.410    0.18    0.21
3VSJB       312      XRAY        2.300    0.19    0.23
2V6KA       214      XRAY        1.300    0.15    0.17
3AMRA       355      XRAY        1.250    0.14    0.18
3EAPA       271      XRAY        2.300    0.23    0.28
1EI5A       520      XRAY        1.900    0.16    0.19
4Y4O11       98      XRAY        2.300    0.21    0.25
4Q4W4        69      XRAY        1.400    0.15    1.00
3WJ2A       308      XRAY        1.610    0.19    0.23
2J3WA       142      XRAY        2.100    0.23    0.28
2O5FA       171      XRAY        1.900    0.23    0.27
2WW8A       893      XRAY        1.900    0.20    0.23
4TM5A       311      XRAY        1.600    0.16    0.19
5VPSA       267      XRAY        1.450    0.15    0.16
3R6AA       144      XRAY        1.760    0.22    0.23
3DWCA       505      XRAY        2.100    0.18    0.22
1V0AA       178      XRAY        1.980    0.20    0.23
5J53A       494      XRAY        1.610    0.15    0.18
5FQLA       525      XRAY        2.300    0.18    0.21
1T6UA       117      XRAY        1.300    0.16    0.20
1YRRA       382      XRAY        2.000    0.16    0.20
5C05A       559      XRAY        1.650    0.16    0.19
2IM8A       131      XRAY        2.000    0.24    0.26
5F3MA       123      XRAY        1.500    0.14    0.16
2XE4A       751      XRAY        1.650    0.14    0.18
2ELCA       329      XRAY        1.550    0.19    0.20
2GA1A       106      XRAY        2.000    0.18    0.22
2JG0A       535      XRAY        1.500    0.15    0.19
4XSOA       388      XRAY        2.010    0.20    0.25
2R751       338      XRAY        1.400    0.14    0.18
2QQ8A       334      XRAY        2.000    0.20    0.23
2X8XX       235      XRAY        1.970    0.20    0.24
5JRYA       485      XRAY        1.200    0.11    0.13
1NR0A       611      XRAY        1.700    0.20    0.23
3EU9A       240      XRAY        1.990    0.22    0.25
3EHMA       532      XRAY        2.000    0.17    0.21
5LJXA       495      XRAY        1.400    0.19    0.21
2P97A       201      XRAY        1.650    0.16    0.19
1WKBA       810      XRAY        2.050    0.18    0.22
5EESA       247      XRAY        2.150    0.18    0.21
4A8XB        40      XRAY        1.900    0.19    0.23
4RS8A        84      XRAY        2.290    0.21    0.26
3GS9A       342      XRAY        1.700    0.19    0.22
3A1SA       258      XRAY        1.500    0.17    0.22
2XFNA       520      XRAY        1.600    0.17    0.19
3SX2A       278      XRAY        1.500    0.14    0.16
5BUWA       196      XRAY        1.800    0.17    0.20
2CXYA       125      XRAY        1.600    0.19    0.20
5MPWA       115      XRAY        1.500    0.16    0.19
2OCGA       254      XRAY        1.750    0.18    0.20
3C5HA       255      XRAY        1.800    0.21    0.25
2GVIA       204      XRAY        1.870    0.19    0.22
5GN1A       366      XRAY        1.950    0.19    0.22
3GPGA       168      XRAY        1.650    0.17    0.20
1PQHA       143      XRAY        1.290    0.15    0.17
3RHBA       113      XRAY        1.200    0.15    0.18
4L8IA       115      XRAY        2.000    0.21    0.25
3WOZA       232      XRAY        2.200    0.24    0.28
3P06A       194      XRAY        2.100    0.18    0.23
3AYJA       721      XRAY        1.100    0.11    0.13
5T5ID       130      XRAY        1.900    0.15    0.17
5BQ8A       122      XRAY        2.000    0.23    0.25
2PIAA       321      XRAY        2.000    0.19    1.00
1MK4A       157      XRAY        1.700    0.22    0.23
3CJMA       282      XRAY        1.500    0.15    0.17
3NECA       166      XRAY        1.700    0.16    0.20
1UA4A       455      XRAY        1.900    0.17    0.20
2F60K        64      XRAY        1.550    0.21    0.22
5T12A       255      XRAY        2.300    0.21    0.25
4JQPA       342      XRAY        1.650    0.15    0.17
1EERB       227      XRAY        1.900    0.24    0.32
1NQZA       194      XRAY        1.700    0.22    0.26
1W23A       360      XRAY        1.080    0.12    0.14
4HZIA       294      XRAY        1.850    0.18    0.22
5K7MA       225      XRAY        1.650    0.16    0.18
1CSEI        70      XRAY        1.200    0.18    1.00
1Q9UA       130      XRAY        1.800    0.20    0.24
3BRSA       289      XRAY        2.000    0.21    0.28
1WLFA       179      XRAY        2.050    0.21    0.26
1MVLA       209      XRAY        2.000    0.17    0.20
5E3EA       104      XRAY        1.700    0.17    0.20
3M0MA       438      XRAY        1.450    0.18    0.20
3NWJA       250      XRAY        2.350    0.19    0.25
4JZUA       158      XRAY        1.700    0.18    0.21
1V0WA       506      XRAY        1.350    0.16    0.19
1SCFA       273      XRAY        2.200    0.20    0.24
3QZRA       187      XRAY        1.040    0.16    0.16
1RW1A       114      XRAY        1.020    0.13    0.14
3FCMA       197      XRAY        2.200    0.25    0.28
1K4IA       233      XRAY        0.980    0.18    0.20
4GOUA       518      XRAY        2.300    0.18    0.24
3PU9A       242      XRAY        1.550    0.18    0.22
5L74A       151      XRAY        1.360    0.18    0.20
5IODA       143      XRAY        1.600    0.19    0.23
1KVEA        63      XRAY        1.800    0.17    1.00
5GJ6A       160      XRAY        2.390    0.22    0.26
3C57A        95      XRAY        1.700    0.19    0.21
3VG7A       132      XRAY        1.440    0.17    0.22
1Z0NA        96      XRAY        1.490    0.18    0.21
1WY9A       147      XRAY        2.100    0.22    0.25
4W66A       243      XRAY        2.360    0.19    0.24
2OEEA       117      XRAY        1.960    0.22    0.25
1IZCA       339      XRAY        1.700    0.18    0.20
4DHXB       101      XRAY        2.100    0.22    0.25
5V5IB       105      XRAY        2.200    0.23    0.27
4H41A       340      XRAY        1.800    0.13    0.16
3CLKA       290      XRAY        2.080    0.26    0.29
5UJCA       270      XRAY        1.350    0.13    0.16
5NKMB       317      XRAY        2.490    0.23    0.26
4MT4A       479      XRAY        2.370    0.21    0.24
3NRAA       407      XRAY        2.150    0.16    0.20
4RWUA        92      XRAY        1.250    0.12    0.15
4LVNA       344      XRAY        2.250    0.20    0.24
4R0KA       308      XRAY        1.750    0.15    0.18
4E01A       418      XRAY        1.970    0.20    0.22
3ZYLA       271      XRAY        1.700    0.17    0.19
3SK9A       265      XRAY        1.800    0.17    0.20
3K05A       200      XRAY        1.330    0.18    0.20
1JQGA       433      XRAY        2.500    0.18    0.24
2PW9A       268      XRAY        2.100    0.20    0.26
3CPKA       150      XRAY        2.500    0.21    0.25
2Z3XA        63      XRAY        2.100    0.26    0.28
1X1OA       286      XRAY        1.900    0.22    0.25
3E57A       211      XRAY        1.890    0.20    0.24
3AKJA       325      XRAY        2.000    0.20    0.23
2CNQA       306      XRAY        1.000    0.12    0.13
5DYQA       160      XRAY        1.660    0.19    0.21
3CLOA       258      XRAY        2.040    0.19    0.22
5M72B        71      XRAY        1.600    0.14    0.18
3AQ2A       207      XRAY        1.650    0.18    0.21
3UANA       269      XRAY        1.840    0.17    0.20
2ID0A       644      XRAY        2.350    0.23    0.29
4U5HA        90      XRAY        1.580    0.20    0.21
4REKA       499      XRAY        0.740    0.11    0.12
4R6RA       133      XRAY        1.380    0.18    0.21
2XWVA       312      XRAY        1.050    0.13    0.15
2CW9A       194      XRAY        1.900    0.22    0.22
2DBBA       151      XRAY        2.000    0.20    0.23
3KTAA       182      XRAY        1.630    0.18    0.21
3ZQSA       186      XRAY        2.000    0.18    0.21
4UZZB        68      XRAY        2.320    0.24    0.26
5KKPA       563      XRAY        2.260    0.21    0.26
3P2TA       196      XRAY        1.700    0.19    0.22
1ZX5A       300      XRAY        2.300    0.16    0.19
3H1ZA       260      XRAY        1.830    0.20    0.24
3CP3A       148      XRAY        2.000    0.19    0.23
2A6ZA       222      XRAY        1.000    0.13    0.16
4V00A       366      XRAY        1.820    0.17    0.19
2P62A       241      XRAY        2.500    0.21    0.24
3R0VA       262      XRAY        1.380    0.17    0.18
4CXFB        95      XRAY        1.750    0.17    0.20
3F2IA       172      XRAY        2.000    0.20    0.24
2XCJA        99      XRAY        1.800    0.15    0.17
4B8XA       147      XRAY        1.250    0.15    0.17
5AXGA       618      XRAY        1.850    0.17    0.19
1R6XA       395      XRAY        1.400    0.20    0.22
3CJSA        59      XRAY        1.370    0.18    0.21
1MWQA       101      XRAY        0.990    0.11    0.13
4Y7SA       111      XRAY        2.000    0.15    0.19
4R3NA       366      XRAY        1.350    0.13    0.16
3IX7A       134      XRAY        2.150    0.21    0.26
2GHSA       326      XRAY        1.550    0.14    0.18
4GF3B        43      XRAY        1.900    0.18    0.24
1XM3A       264      XRAY        1.800    0.21    0.24
1L5JA       865      XRAY        2.400    0.15    0.20
3S98A       306      XRAY        1.900    0.21    0.23
1F0LA       535      XRAY        1.550    0.19    0.24
4ATEA       266      XRAY        1.100    0.12    0.15
5JFFB        68      XRAY        2.000    0.16    0.19
3C6FA       153      XRAY        2.500    0.23    0.29
3DDJA       296      XRAY        1.800    0.17    0.21
2RJLA       184      XRAY        2.050    0.21    0.24
1B0UA       262      XRAY        1.500    0.18    0.21
4XQCA       475      XRAY        1.270    0.15    0.18
2NTKA       222      XRAY        2.030    0.22    0.24
3TQTA       372      XRAY        1.880    0.18    0.22
5J1JA       285      XRAY        1.550    0.17    0.19
1EEXA       554      XRAY        1.700    0.16    0.23
1VJVA       415      XRAY        1.740    0.18    0.21
5TTAA       248      XRAY        1.850    0.18    0.23
5IIFA       143      XRAY        1.850    0.20    0.24
4JRFA       508      XRAY        1.980    0.16    0.18
1XDNA       277      XRAY        1.200    0.13    0.15
4P78C        66      XRAY        2.120    0.18    0.22
3IC5A       118      XRAY        2.080    0.20    0.25
4B6DA        61      XRAY        2.200    0.21    0.23
1N62B       809      XRAY        1.090    0.14    0.17
1EI9A       279      XRAY        2.250    0.25    0.30
5THYA       405      XRAY        2.090    0.17    0.21
3DKQA       243      XRAY        2.260    0.20    0.23
3FANA       213      XRAY        1.900    0.20    0.25
1IIBA       106      XRAY        1.800    0.19    0.24
4NDHA       182      XRAY        1.850    0.16    0.20
4RS7A        96      XRAY        1.900    0.20    0.22
5F1MA       268      XRAY        2.320    0.20    0.26
3S9XA       159      XRAY        1.350    0.14    0.17
2FCWA       109      XRAY        1.260    0.15    0.20
2XOCA       261      XRAY        1.890    0.17    0.19
3URRA       153      XRAY        1.400    0.17    0.20
